,Total Emissions,Coal,Oil,Gas,Cement,Flaring
China,177305.057105,130257.53496200003,24557.651856999997,6314.465957000001,13181.112882000001,37.87482
USA,123528.098784,38500.808418,52353.235484,30012.365170999998,881.204796,1160.00664
India,39162.083007999994,24723.491522000004,10332.574810000002,2034.2042469999994,2013.271144,58.541290000000004
Russia,35503.284888999995,9097.078481999999,7772.3629949999995,16867.348943,480.42176199999994,947.3323350000001
Japan,26963.314907,9477.663750999998,11924.431231999997,4733.657971,620.294574,10.439635999999998
Germany,17977.898058,7351.850814,6323.770181000001,3760.369347,292.45507699999996,57.106186
South Korea,12508.905207,5900.8666299999995,4009.8158040000008,1873.6860889999998,554.27747,0.006392
Canada,12497.803062,2029.9283130000001,5641.511476000001,4276.455903,148.415235,345.0207900000001
Iran,12390.108395000001,104.393967,5003.134846000001,6277.963049999999,385.719163,618.8973679999999
Saudi Arabia,11072.785355000002,0.0,6916.173624999999,3670.5627040000004,443.004339,43.044689000000005
United Kingdom,10601.407173000003,2377.06421,3962.4146919999994,3969.273451,106.71020899999999,107.27609300000002
Mexico,10084.99137,924.3696679999999,5766.081087,2790.6358040000005,396.04645500000004,207.85835899999998
Indonesia,10028.215169000003,3615.4061039999997,4233.073556,1541.2728530000004,501.24645100000004,137.21620699999997
South Africa,9696.172526000002,8295.684544999998,1129.893521,161.2111,108.88503000000001,0.498332
Brazil,9560.805461999998,1277.4576000000002,6218.64987,1175.1264729999998,431.25851500000005,329.58899999999994
Italy,9184.236665,1209.917818,4301.020894,3251.2489199999995,271.67198299999995,56.82118900000002
Australia,8667.958739000002,4081.7727149999987,2768.573050000001,1430.9913980000001,74.64591899999998,227.33204499999994
France,8035.936665,1038.2666789999998,4716.079449,1943.6587309999998,166.855207,77.60789299999999
Turkey,7261.908792999999,2808.335685,2095.9586329999997,1620.4002349999998,623.260884,3.3975860000000004
Poland,7119.222131999999,4638.405071,1505.6441280000001,650.218455,138.637145,85.78105000000002
Spain,6521.675181000001,1309.5868639999997,3435.5574460000003,1368.912532,263.377789,64.357986
Ukraine,6090.946022,2955.5582590000004,816.9446200000002,2110.3918750000003,84.065975,53.679605999999985
Taiwan,5855.501260000001,3280.8592519999997,1674.6196639999998,702.5264980000001,171.47663599999998,0.6952049999999999
Thailand,5531.319529,1183.5734679999998,2397.823429,1505.559556,437.23678399999994,7.126290999999999
Kazakhstan,5298.078902000001,3128.5675600000004,962.821338,734.28455,41.945307,361.1609920000001
Malaysia,4589.65392,1099.72286,1593.7532459999998,1516.45496,206.27962000000002,173.44323700000004
Egypt,4386.323291,83.054437,2032.491369,1837.156431,386.95962499999996,46.661431
Argentina,3799.391569000001,78.129872,1706.3866400000002,1901.6055740000002,82.28091399999997,30.988566000000006
Netherlands,3666.879731,699.0147509999999,1217.5715670000002,1695.2885919999999,6.937372,22.143109
United Arab Emirates,3649.66472,79.674396,1021.8969500000001,2396.268316,113.88880500000002,37.936249
Viet Nam,3591.5362099999998,1669.6375130000001,1022.1996020000001,303.48445499999997,579.675109,16.539527
Pakistan,3516.428633,529.92715,1354.322673,1385.502945,236.13656600000002,10.539298
Venezuela,3388.2480800000003,9.070978999999998,1977.912664,1027.166441,63.862244,310.23575399999993
Iraq,2978.041792,0.0,2156.394027,329.856815,67.4864,424.30454900000007
Algeria,2831.405535,34.54353900000001,972.1975129999998,1392.0095399999998,168.95611200000002,263.698829
Uzbekistan,2561.413732,136.53289900000001,291.88693,2049.7220209999996,64.45622300000001,18.815661000000002
Czech Republic,2523.0402580000004,1586.4329259999997,469.723141,386.845982,37.13514900000001,5.1040339999999995
Belgium,2441.2433689999993,426.6654199999999,1129.150023,771.4924070000002,60.821094,2.4282850000000007
Nigeria,2354.994730000001,2.008688,1079.5744539999998,565.8032629999999,105.068127,602.5402030000001
Philippines,2110.127763,798.9402910000001,1011.201877,135.654196,162.02174,2.3096550000000002
Greece,2002.341435,792.549342,930.7659629999999,159.06975900000003,103.43939499999998,0.146121
Romania,1968.3647509999998,624.8034739999998,618.9677140000001,610.008728,71.44772999999999,17.721971
Kuwait,1814.517384,0.0,1069.757521,701.1226689999999,19.839807000000008,23.797387999999998
Colombia,1649.302265,285.242493,823.8373169999999,418.56283399999995,99.026845,22.632774
Chile,1595.3781559999998,421.2246809999999,906.270415,241.84258599999998,23.141486999999998,2.8989889999999994
Qatar,1594.473758,0.0,227.00258800000006,1273.446584,29.469298,64.55529
Austria,1539.5577629999998,333.34873300000004,763.4712849999999,374.532505,39.161621,3.558145999999999
Israel,1362.676657,564.8462749999999,556.5413410000001,197.741618,43.53919100000001,0.008234
Belarus,1313.3771909999998,78.366191,382.35734999999994,780.4514369999999,40.362494,0.13962499999999997
Turkmenistan,1281.7633580000002,0.0,378.0353180000001,853.6853739999999,16.904753,33.137915
Bangladesh,1262.70062,111.24271099999999,287.558058,843.2791650000003,20.33846,0.282225
Portugal,1237.3523589999998,227.27550100000002,695.893408,208.737711,69.94816999999999,16.219396
Finland,1203.2604839999997,496.02186099999994,528.334035,146.93738700000003,11.690247999999999,1.7815520000000002
Libya,1196.3911550000003,0.003664,741.698197,290.818385,36.918224,126.95268599999999
North Korea,1187.223408,1070.625145,65.004707,0.0,51.59355600000001,0.0
Hungary,1160.476919,261.91295400000007,366.78490999999997,492.13643799999994,21.878075000000003,3.269133
Morocco,1153.466464,343.58129099999996,670.597245,30.185241,109.10268800000001,0.0
Oman,1127.7240610000001,0.0,254.46020200000004,763.1366240000001,32.041645,78.08559299999999
Sweden,1064.897458,204.47699,754.2898339999999,47.904842999999985,30.186710999999995,14.129266999999999
Serbia,1050.782905,718.1203600000001,215.11067900000003,95.00537700000001,22.447543999999994,0.098944
Bulgaria,1042.919356,600.76577,255.71317799999997,130.800955,26.801147,8.622376000000001
