,Coal
China,130257.53496200003
USA,38500.808418
India,24723.491522000004
Japan,9477.663750999998
Russia,9097.078481999999
South Africa,8295.684544999998
Germany,7351.850814
South Korea,5900.8666299999995
Poland,4638.405071
Australia,4081.7727149999987
Indonesia,3615.4061039999997
Taiwan,3280.8592519999997
Kazakhstan,3128.5675600000004
Ukraine,2955.5582590000004
Turkey,2808.335685
United Kingdom,2377.06421
Canada,2029.9283130000001
Viet Nam,1669.6375130000001
Czech Republic,1586.4329259999997
Spain,1309.5868639999997
Brazil,1277.4576000000002
Italy,1209.917818
Thailand,1183.5734679999998
Malaysia,1099.72286
North Korea,1070.625145
France,1038.2666789999998
Mexico,924.3696679999999
Philippines,798.9402910000001
Greece,792.549342
Serbia,718.1203600000001
Netherlands,699.0147509999999
Romania,624.8034739999998
Bulgaria,600.76577
Israel,564.8462749999999
Pakistan,529.92715
Hong Kong,517.0401109999999
Finland,496.02186099999994
Mongolia,446.00240899999994
Belgium,426.6654199999999
Chile,421.2246809999999
Slovakia,345.07869500000004
Morocco,343.58129099999996
Austria,333.34873300000004
Bosnia and Herzegovina,304.158719
Colombia,285.242493
Denmark,276.17444500000005
Hungary,261.91295400000007
Estonia,255.410976
Portugal,227.27550100000002
Sweden,204.47699
Ireland,195.35067500000005
Zimbabwe,165.11156599999998
New Zealand,137.68147199999999
Uzbekistan,136.53289900000001
Slovenia,126.14620099999998
North Macedonia,123.69193599999998
Bangladesh,111.24271099999999
Iran,104.393967
Laos,97.852386
Egypt,83.054437
Kosovo,81.700028
United Arab Emirates,79.674396
Belarus,78.366191
Argentina,78.129872
Norway,75.22760000000001
Kyrgyzstan,65.42994
Peru,63.86387399999999
Botswana,58.315470000000005
Dominican Republic,52.12372899999999
Guatemala,51.589928
Sri Lanka,51.021033
Croatia,50.33482200000001
Afghanistan,45.828845
Réunion,38.548882
Lesotho,37.75195
Nepal,36.332791
Myanmar,35.098884
Algeria,34.54353900000001
Tajikistan,32.678091
New Caledonia,30.843277999999998
Mauritius,29.372065000000003
Montenegro,28.586276
Cambodia,28.324441
Senegal,20.359804999999998
Singapore,19.956722000000003
Kenya,18.503731000000002
Zambia,17.952163
Lithuania,17.122391999999998
Georgia,14.605692000000003
Panama,13.867062
Iceland,13.333120999999998
Switzerland,12.791729000000004
Tanzania,12.782209
Madagascar,12.676848000000001
Lebanon,12.024495999999997
Ethiopia,11.9677
Guadeloupe,9.889906000000002
Venezuela,9.070978999999998
Swaziland,7.552428
Moldova,7.530572999999999
Luxembourg,7.327441000000001
Latvia,7.203341
Jordan,6.99644
Niger,6.782107999999999
Albania,6.6162529999999995
Honduras,5.2325680000000006
Yemen,4.9773369999999995
Jamaica,4.557236
Bhutan,4.460718999999999
Malawi,4.142901999999999
Nigeria,2.008688
Mozambique,1.8408259999999996
Cyprus,1.758
Namibia,1.5535779999999997
Benin,1.512371
Brunei Darussalam,1.129193
Cuba,0.9810230000000001
Tunisia,0.9123470000000001
Costa Rica,0.798839
Burundi,0.432668
Armenia,0.213799
Fiji,0.172405
Syria,0.162964
Azerbaijan,0.15756200000000004
Bolivia,0.146815
Uruguay,0.098454
Bahamas,0.098057
Rwanda,0.084763
El Salvador,0.077482
Paraguay,0.043484999999999996
Sierra Leone,0.014656
Libya,0.003664
Macao,0.003664
Malta,0.000631
Liechtenstein,0.00026500000000000004
St. Kitts-Nevis-Anguilla,0.0
Angola,0.0
Tuvalu,0.0
Seychelles,0.0
Antigua and Barbuda,0.0
Uganda,0.0
Antarctica,0.0
Anguilla,0.0
Andorra,0.0
Sudan,0.0
Saudi Arabia,0.0
Sao Tome and Principe,0.0
Samoa,0.0
Vanuatu,0.0
Wallis and Futuna Islands,0.0
Saint Vincent and the Grenadines,0.0
Turks and Caicos Islands,0.0
Turkmenistan,0.0
Sint Maarten (Dutch part),0.0
Trinidad and Tobago,0.0
Bermuda,0.0
Tonga,0.0
Solomon Islands,0.0
Somalia,0.0
Togo,0.0
Timor-Leste,0.0
Aruba,0.0
Belize,0.0
South Sudan,0.0
Saint Lucia,0.0
Barbados,0.0
Suriname,0.0
Bahrain,0.0
Saint Pierre and Miquelon,0.0
Gambia,0.0
Saint Kitts and Nevis,0.0
Equatorial Guinea,0.0
Maldives,0.0
Liberia,0.0
Curaçao,0.0
Kuwait,0.0
Côte d'Ivoire,0.0
Kiribati,0.0
Democratic Republic of the Congo,0.0
Djibouti,0.0
Dominica,0.0
Ecuador,0.0
Iraq,0.0
Eritrea,0.0
Saint Helena,0.0
Faeroe Islands,0.0
Haiti,0.0
Guyana,0.0
Guinea-Bissau,0.0
Guinea,0.0
French Guiana,0.0
Grenada,0.0
Greenland,0.0
French Polynesia,0.0
Ghana,0.0
Gabon,0.0
Mali,0.0
Marshall Islands,0.0
Martinique,0.0
Mauritania,0.0
"Bonaire, Saint Eustatius and Saba",0.0
British Virgin Islands,0.0
Qatar,0.0
Puerto Rico,0.0
Burkina Faso,0.0
Papua New Guinea,0.0
Panama Canal Zone,0.0
Palau,0.0
Cameroon,0.0
Oman,0.0
Occupied Palestinian Territory,0.0
Central African Republic,0.0
Chad,0.0
Niue,0.0
Nicaragua,0.0
Christmas Island,0.0
Comoros,0.0
Nauru,0.0
Congo,0.0
Montserrat,0.0
Cook Islands,0.0
Micronesia (Federated States of),0.0
Mayotte,0.0
Cape Verde,0.0
