,Flaring
USA,1160.00664
Russia,947.3323350000001
Iran,618.8973679999999
Nigeria,602.5402030000001
Iraq,424.30454900000007
Kazakhstan,361.1609920000001
Canada,345.0207900000001
Brazil,329.58899999999994
Venezuela,310.23575399999993
Algeria,263.698829
Australia,227.33204499999994
Mexico,207.85835899999998
Malaysia,173.44323700000004
Angola,173.10290099999997
Indonesia,137.21620699999997
Libya,126.95268599999999
United Kingdom,107.27609300000002
Poland,85.78105000000002
Oman,78.08559299999999
France,77.60789299999999
Qatar,64.55529
Spain,64.357986
Peru,60.26490300000001
India,58.541290000000004
Gabon,58.433167
Germany,57.106186
Italy,56.82118900000002
Equatorial Guinea,54.41320699999999
Ukraine,53.679605999999985
Egypt,46.661431
Saudi Arabia,43.044689000000005
United Arab Emirates,37.936249
China,37.87482
Ecuador,36.195119
Norway,36.179860000000005
Turkmenistan,33.137915
Argentina,30.988566000000006
Syria,29.360116
Congo,25.931235
Azerbaijan,25.440346999999996
Kuwait,23.797387999999998
Colombia,22.632774
New Zealand,22.383227
Netherlands,22.143109
Uzbekistan,18.815661000000002
Cameroon,17.841556
Romania,17.721971
Viet Nam,16.539527
Portugal,16.219396
Yemen,14.862096
Sweden,14.129266999999999
Croatia,11.631042999999998
Tunisia,11.238182000000002
Brunei Darussalam,10.555286
Pakistan,10.539298
Japan,10.439635999999998
Bulgaria,8.622376000000001
Denmark,8.616981000000003
Thailand,7.126290999999999
Sudan,6.984896000000001
Czech Republic,5.1040339999999995
Trinidad and Tobago,4.242991000000001
Lithuania,4.017221
Ghana,3.796095
Bolivia,3.78475
Austria,3.558145999999999
Iceland,3.4777689999999994
Chad,3.4772659999999997
Turkey,3.3975860000000004
Slovenia,3.300728
Hungary,3.269133
Chile,2.8989889999999994
Belgium,2.4282850000000007
Timor-Leste,2.366869999999999
Philippines,2.3096550000000002
Bahrain,2.01754
Finland,1.7815520000000002
Papua New Guinea,1.527651
Côte d'Ivoire,1.2979880000000001
Myanmar,1.013814
Niger,0.9893699999999999
Switzerland,0.8576090000000001
Guatemala,0.8275939999999999
Guyana,0.775218
Cuba,0.764351
Taiwan,0.6952049999999999
Mauritania,0.521135
South Africa,0.498332
Slovakia,0.46928000000000003
Bangladesh,0.282225
Barbados,0.23451200000000003
Mozambique,0.15261699999999995
Greece,0.146121
Belarus,0.13962499999999997
Albania,0.136357
Mongolia,0.113702
Serbia,0.098944
Ireland,0.064525
Georgia,0.057293000000000004
Tanzania,0.045487999999999994
Afghanistan,0.043968
Suriname,0.032976
Cambodia,0.023707
Jordan,0.012858999999999999
Senegal,0.011355
Occupied Palestinian Territory,0.010962
Ethiopia,0.01066
Israel,0.008234
South Korea,0.006392
Belize,0.006241999999999999
Luxembourg,0.0012169999999999998
Estonia,0.001006
Latvia,0.00017400000000000003
Uganda,0.0
Palau,0.0
Panama,0.0
Panama Canal Zone,0.0
Wallis and Futuna Islands,0.0
Uruguay,0.0
Turks and Caicos Islands,0.0
Vanuatu,0.0
Paraguay,0.0
Tonga,0.0
Togo,0.0
Tajikistan,0.0
Zambia,0.0
Swaziland,0.0
Tuvalu,0.0
Sierra Leone,0.0
Puerto Rico,0.0
Seychelles,0.0
Singapore,0.0
Sao Tome and Principe,0.0
Samoa,0.0
Saint Vincent and the Grenadines,0.0
Sint Maarten (Dutch part),0.0
Solomon Islands,0.0
Somalia,0.0
Saint Pierre and Miquelon,0.0
Saint Lucia,0.0
Saint Kitts and Nevis,0.0
Saint Helena,0.0
Réunion,0.0
Rwanda,0.0
South Sudan,0.0
Sri Lanka,0.0
St. Kitts-Nevis-Anguilla,0.0
Liechtenstein,0.0
North Macedonia,0.0
Dominica,0.0
Comoros,0.0
Cook Islands,0.0
Costa Rica,0.0
Curaçao,0.0
Cyprus,0.0
Democratic Republic of the Congo,0.0
Djibouti,0.0
Dominican Republic,0.0
North Korea,0.0
El Salvador,0.0
Eritrea,0.0
Faeroe Islands,0.0
Fiji,0.0
French Guiana,0.0
French Polynesia,0.0
Gambia,0.0
Christmas Island,0.0
Central African Republic,0.0
Cape Verde,0.0
Burundi,0.0
Andorra,0.0
Anguilla,0.0
Antarctica,0.0
Antigua and Barbuda,0.0
Armenia,0.0
Aruba,0.0
Bahamas,0.0
Benin,0.0
Bermuda,0.0
Bhutan,0.0
"Bonaire, Saint Eustatius and Saba",0.0
Bosnia and Herzegovina,0.0
Botswana,0.0
British Virgin Islands,0.0
Burkina Faso,0.0
Greenland,0.0
Grenada,0.0
Guadeloupe,0.0
Mali,0.0
Marshall Islands,0.0
Martinique,0.0
Mauritius,0.0
Mayotte,0.0
Micronesia (Federated States of),0.0
Moldova,0.0
Montenegro,0.0
Montserrat,0.0
Morocco,0.0
Namibia,0.0
Nauru,0.0
Nepal,0.0
New Caledonia,0.0
Nicaragua,0.0
Niue,0.0
Malta,0.0
Maldives,0.0
Guinea,0.0
Malawi,0.0
Guinea-Bissau,0.0
Haiti,0.0
Honduras,0.0
Hong Kong,0.0
Jamaica,0.0
Kenya,0.0
Kiribati,0.0
Kosovo,0.0
Kyrgyzstan,0.0
Laos,0.0
Lebanon,0.0
Lesotho,0.0
Liberia,0.0
Macao,0.0
Madagascar,0.0
Zimbabwe,0.0
