,Gas
USA,30012.365170999998
Russia,16867.348943
China,6314.465957000001
Iran,6277.963049999999
Japan,4733.657971
Canada,4276.455903
United Kingdom,3969.273451
Germany,3760.369347
Saudi Arabia,3670.5627040000004
Italy,3251.2489199999995
Mexico,2790.6358040000005
United Arab Emirates,2396.268316
Ukraine,2110.3918750000003
Uzbekistan,2049.7220209999996
India,2034.2042469999994
France,1943.6587309999998
Argentina,1901.6055740000002
South Korea,1873.6860889999998
Egypt,1837.156431
Netherlands,1695.2885919999999
Turkey,1620.4002349999998
Indonesia,1541.2728530000004
Malaysia,1516.45496
Thailand,1505.559556
Australia,1430.9913980000001
Algeria,1392.0095399999998
Pakistan,1385.502945
Spain,1368.912532
Qatar,1273.446584
Brazil,1175.1264729999998
Venezuela,1027.166441
Turkmenistan,853.6853739999999
Bangladesh,843.2791650000003
Belarus,780.4514369999999
Belgium,771.4924070000002
Trinidad and Tobago,765.5472980000001
Oman,763.1366240000001
Kazakhstan,734.28455
Taiwan,702.5264980000001
Kuwait,701.1226689999999
Poland,650.218455
Romania,610.008728
Nigeria,565.8032629999999
Bahrain,505.3479810000001
Hungary,492.13643799999994
Azerbaijan,435.4357150000001
Colombia,418.56283399999995
Czech Republic,386.845982
Austria,374.532505
Iraq,329.856815
Singapore,328.26821500000005
Norway,307.38783300000006
Viet Nam,303.48445499999997
Libya,290.818385
Slovakia,242.20064500000004
Chile,241.84258599999998
Syria,231.950327
Tunisia,215.55787800000002
Ireland,212.66779300000002
Peru,209.11642499999996
Portugal,208.737711
Israel,197.741618
Denmark,191.15431300000003
New Zealand,180.90227299999998
South Africa,161.2111
Greece,159.06975900000003
Finland,146.93738700000003
Switzerland,145.31915
Philippines,135.654196
Bolivia,133.069659
Bulgaria,130.800955
Myanmar,123.975447
Hong Kong,119.892374
Brunei Darussalam,114.39157
Croatia,113.02242000000001
Lithuania,109.25703399999998
Serbia,95.00537700000001
Jordan,93.14846499999999
Armenia,82.636188
Georgia,77.012776
Côte d'Ivoire,75.673092
Equatorial Guinea,65.534764
Latvia,61.400771000000006
Luxembourg,48.490465
Sweden,47.904842999999985
Moldova,42.27714399999999
Cuba,40.896481
Slovenia,38.858960999999994
Angola,32.17202999999999
Morocco,30.185241
Dominican Republic,29.950622000000003
Estonia,28.417263
Ghana,27.937973
Tanzania,25.670802
Ecuador,24.582543
Kyrgyzstan,21.122976
Mozambique,14.666015000000002
Cameroon,13.807878
Yemen,13.635112000000001
Gabon,13.539597
Tajikistan,13.266138999999999
Congo,13.121873
Bosnia and Herzegovina,10.645768
Papua New Guinea,10.297288000000002
Afghanistan,6.593126
North Macedonia,6.176675
Panama,4.125473
Malta,3.5213889999999997
Uruguay,2.837230999999999
Macao,2.197702
Jamaica,1.890941
Albania,1.362049
Liechtenstein,1.2900579999999997
Togo,0.9519330000000001
Barbados,0.834634
Curaçao,0.7914079999999999
Senegal,0.721197
Rwanda,0.615257
Benin,0.592229
Lebanon,0.5788949999999999
Democratic Republic of the Congo,0.249234
Suriname,0.166217
Belize,0.05142200000000001
Cyprus,0.014344
Fiji,0.003676
Botswana,0.003662
Iceland,0.003332
Christmas Island,0.0
Cook Islands,0.0
Sri Lanka,0.0
St. Kitts-Nevis-Anguilla,0.0
South Sudan,0.0
Sudan,0.0
Comoros,0.0
Liberia,0.0
Somalia,0.0
Solomon Islands,0.0
Costa Rica,0.0
Chad,0.0
Sint Maarten (Dutch part),0.0
Sierra Leone,0.0
Seychelles,0.0
Djibouti,0.0
Sao Tome and Principe,0.0
Swaziland,0.0
Burundi,0.0
Central African Republic,0.0
Cape Verde,0.0
Zambia,0.0
Andorra,0.0
Wallis and Futuna Islands,0.0
Anguilla,0.0
Antarctica,0.0
Vanuatu,0.0
Antigua and Barbuda,0.0
Aruba,0.0
Bahamas,0.0
Uganda,0.0
Tuvalu,0.0
Turks and Caicos Islands,0.0
Bermuda,0.0
Bhutan,0.0
"Bonaire, Saint Eustatius and Saba",0.0
Tonga,0.0
Timor-Leste,0.0
British Virgin Islands,0.0
Burkina Faso,0.0
Saint Vincent and the Grenadines,0.0
Cambodia,0.0
Samoa,0.0
Saint Kitts and Nevis,0.0
Saint Pierre and Miquelon,0.0
Guinea-Bissau,0.0
Guyana,0.0
Nepal,0.0
Nauru,0.0
Namibia,0.0
Haiti,0.0
Honduras,0.0
Montserrat,0.0
Montenegro,0.0
Mongolia,0.0
Kenya,0.0
Micronesia (Federated States of),0.0
Kiribati,0.0
Mayotte,0.0
Mauritius,0.0
Mauritania,0.0
Martinique,0.0
Marshall Islands,0.0
Kosovo,0.0
Mali,0.0
Maldives,0.0
Laos,0.0
Malawi,0.0
Madagascar,0.0
New Caledonia,0.0
Nicaragua,0.0
Saint Lucia,0.0
Niger,0.0
Lesotho,0.0
Saint Helena,0.0
Réunion,0.0
Dominica,0.0
El Salvador,0.0
Eritrea,0.0
Puerto Rico,0.0
Ethiopia,0.0
Faeroe Islands,0.0
French Guiana,0.0
Paraguay,0.0
French Polynesia,0.0
Panama Canal Zone,0.0
Gambia,0.0
Palau,0.0
Greenland,0.0
Grenada,0.0
Occupied Palestinian Territory,0.0
Guadeloupe,0.0
Guatemala,0.0
North Korea,0.0
Niue,0.0
Guinea,0.0
Zimbabwe,0.0
