,Oil
USA,52353.235484
China,24557.651856999997
Japan,11924.431231999997
India,10332.574810000002
Russia,7772.3629949999995
Saudi Arabia,6916.173624999999
Germany,6323.770181000001
Brazil,6218.64987
Mexico,5766.081087
Canada,5641.511476000001
Iran,5003.134846000001
France,4716.079449
Italy,4301.020894
Indonesia,4233.073556
South Korea,4009.8158040000008
United Kingdom,3962.4146919999994
Spain,3435.5574460000003
Australia,2768.573050000001
Thailand,2397.823429
Iraq,2156.394027
Turkey,2095.9586329999997
Egypt,2032.491369
Venezuela,1977.912664
Argentina,1706.3866400000002
Taiwan,1674.6196639999998
Malaysia,1593.7532459999998
Poland,1505.6441280000001
Pakistan,1354.322673
Netherlands,1217.5715670000002
South Africa,1129.893521
Belgium,1129.150023
Nigeria,1079.5744539999998
Kuwait,1069.757521
Viet Nam,1022.1996020000001
United Arab Emirates,1021.8969500000001
Philippines,1011.201877
Algeria,972.1975129999998
Kazakhstan,962.821338
Greece,930.7659629999999
Chile,906.270415
Colombia,823.8373169999999
Ukraine,816.9446200000002
Austria,763.4712849999999
Sweden,754.2898339999999
Libya,741.698197
Switzerland,711.5512669999999
Portugal,695.893408
Syria,677.574879
Morocco,670.597245
Ecuador,642.1604400000001
Singapore,635.2221380000001
Romania,618.9677140000001
Israel,556.5413410000001
Peru,543.680512
Finland,528.334035
Norway,517.134984
Cuba,515.349257
Denmark,480.6496850000001
Czech Republic,469.723141
Ireland,464.308808
New Zealand,411.02777399999997
Lebanon,395.688823
Belarus,382.35734999999994
Turkmenistan,378.0353180000001
Hungary,366.78490999999997
Dominican Republic,364.23456500000003
Jordan,347.57964300000003
Yemen,341.30350200000004
Sudan,300.65775999999994
Uzbekistan,291.88693
Bangladesh,287.558058
Sri Lanka,274.186118
Tunisia,269.89410000000004
Azerbaijan,261.232641
Hong Kong,258.39975400000003
Bulgaria,255.71317799999997
Oman,254.46020200000004
Angola,252.14825199999996
Croatia,239.10387199999997
Qatar,227.00258800000006
Kenya,225.86938800000001
Guatemala,221.599736
Serbia,215.11067900000003
Myanmar,206.086671
Ghana,203.94213299999998
Slovakia,201.43308000000002
Bolivia,198.36047000000002
Jamaica,184.505167
Panama,168.35080799999997
Honduras,167.13193299999998
Slovenia,160.03748799999997
Lithuania,159.28193600000003
Luxembourg,158.15572300000002
Ethiopia,157.44128999999998
Cyprus,146.81687000000002
Costa Rica,145.441118
Uruguay,131.421356
El Salvador,130.689488
Paraguay,114.22838099999998
Senegal,111.873673
Tanzania,110.024032
Papua New Guinea,109.643089
Côte d'Ivoire,106.893255
Curaçao,105.48155400000002
Cambodia,104.16405200000001
Cameroon,101.74913400000001
Nicaragua,96.449774
Afghanistan,93.56678199999999
Trinidad and Tobago,92.85034
Benin,92.285452
Latvia,90.880965
Bosnia and Herzegovina,87.573952
Bahrain,83.438255
Nepal,80.865944
Albania,76.90740799999999
Estonia,71.02535999999999
Uganda,70.13357100000002
Kyrgyzstan,69.79293700000001
North Korea,65.004707
Mongolia,63.187421
Zimbabwe,62.790789999999994
North Macedonia,61.27775200000001
Zambia,60.947857
Mozambique,60.89771600000001
Namibia,59.663289999999996
Georgia,58.20181600000001
Iceland,56.56658000000001
Guinea,55.62982100000001
Mauritius,54.167146
Botswana,53.623672
Occupied Palestinian Territory,52.689865999999995
Burkina Faso,52.060492999999994
Réunion,50.875771
Mali,50.528753
New Caledonia,50.36653199999999
Mauritania,49.761635999999996
Martinique,48.970948
Haiti,48.00964199999999
Malta,47.10317099999999
Suriname,47.042706
Bahamas,46.98679299999999
Moldova,46.362324
Laos,46.186406000000005
Guyana,43.58261699999999
Guadeloupe,43.34501000000001
Madagascar,43.113403
Democratic Republic of the Congo,40.33893199999999
Gabon,40.301079
Aruba,40.116408
Brunei Darussalam,39.459348
Tajikistan,39.402905
Congo,34.503501000000014
Macao,30.145518000000006
South Sudan,27.177460999999997
Togo,27.061456
Kosovo,26.125623
Barbados,25.507881000000005
Fiji,24.173491999999996
Maldives,24.115134
Equatorial Guinea,23.861874
Niger,23.760818
Chad,23.258792000000003
Armenia,19.868242999999996
Malawi,18.730323999999996
French Polynesia,17.947992
Montenegro,17.190858000000002
Sierra Leone,17.000068
Liberia,16.667159
Rwanda,16.310233999999998
Swaziland,15.541911
Faeroe Islands,14.786103000000002
Sint Maarten (Dutch part),14.309343000000002
French Guiana,14.282694
Somalia,13.210222000000003
Greenland,13.153452
Eritrea,13.085902
Bermuda,12.575973
Lesotho,11.693859000000002
Belize,11.282027
Andorra,11.098684
Cape Verde,11.028022
Seychelles,9.815991
Saint Lucia,9.782910000000001
Gambia,9.718734000000001
Antigua and Barbuda,9.295699999999998
Djibouti,8.754544000000001
Bhutan,7.774585000000001
Burundi,7.150827
Timor-Leste,6.910769
Solomon Islands,6.5373209999999995
Mayotte,5.739732
Turks and Caicos Islands,5.69988
Grenada,5.573554000000001
Guinea-Bissau,5.400454
Saint Vincent and the Grenadines,4.808090999999999
Saint Kitts and Nevis,4.802817000000001
Palau,4.801315
Central African Republic,4.435297999999999
Samoa,4.387137
Comoros,3.907568
British Virgin Islands,3.867503999999999
Dominica,3.3545439999999997
Micronesia (Federated States of),3.065308
Anguilla,2.9361980000000005
Marshall Islands,2.8857719999999993
Liechtenstein,2.8628220000000004
Tonga,2.693633
Vanuatu,2.547073
Sao Tome and Principe,2.1653200000000004
"Bonaire, Saint Eustatius and Saba",1.850879
Cook Islands,1.448089
Saint Pierre and Miquelon,1.386087
Kiribati,1.233012
Nauru,1.224145
Montserrat,0.8308719999999999
Wallis and Futuna Islands,0.571511
Saint Helena,0.253466
Tuvalu,0.20621
Niue,0.15542699999999998
Antarctica,0.047632
Panama Canal Zone,0.0
Puerto Rico,0.0
St. Kitts-Nevis-Anguilla,0.0
Christmas Island,0.0
