,Total Emissions
China,177305.057105
USA,123528.098784
India,39162.083007999994
Russia,35503.284888999995
Japan,26963.314907
Germany,17977.898058
South Korea,12508.905207
Canada,12497.803062
Iran,12390.108395000001
Saudi Arabia,11072.785355000002
United Kingdom,10601.407173000003
Mexico,10084.99137
Indonesia,10028.215169000003
South Africa,9696.172526000002
Brazil,9560.805461999998
Italy,9184.236665
Australia,8667.958739000002
France,8035.936665
Turkey,7261.908792999999
Poland,7119.222131999999
Spain,6521.675181000001
Ukraine,6090.946022
Taiwan,5855.501260000001
Thailand,5531.319529
Kazakhstan,5298.078902000001
Malaysia,4589.65392
Egypt,4386.323291
Argentina,3799.391569000001
Netherlands,3666.879731
United Arab Emirates,3649.66472
Viet Nam,3591.5362099999998
Pakistan,3516.428633
Venezuela,3388.2480800000003
Iraq,2978.041792
Algeria,2831.405535
Uzbekistan,2561.413732
Czech Republic,2523.0402580000004
Belgium,2441.2433689999993
Nigeria,2354.994730000001
Philippines,2110.127763
Greece,2002.341435
Romania,1968.3647509999998
Kuwait,1814.517384
Colombia,1649.302265
Chile,1595.3781559999998
Qatar,1594.473758
Austria,1539.5577629999998
Israel,1362.676657
Belarus,1313.3771909999998
Turkmenistan,1281.7633580000002
Bangladesh,1262.70062
Portugal,1237.3523589999998
Finland,1203.2604839999997
Libya,1196.3911550000003
North Korea,1187.223408
Hungary,1160.476919
Morocco,1153.466464
Oman,1127.7240610000001
Sweden,1064.897458
Serbia,1050.782905
Bulgaria,1042.919356
Denmark,990.593992
Singapore,983.447076
Syria,970.2173949999998
Norway,965.8085530000001
Peru,950.5805360000002
Ireland,923.1664650000001
Switzerland,914.4001799999999
Hong Kong,907.5492880000002
Trinidad and Tobago,869.363297
Slovakia,839.9789440000001
New Zealand,778.968086
Ecuador,747.4485369999999
Azerbaijan,738.4166690000001
Bahrain,597.9621
Cuba,576.9713229999999
Tunisia,566.344104
Mongolia,513.344979
Dominican Republic,482.6870130000001
Jordan,479.79211000000004
Angola,476.491977
Lebanon,458.24144800000005
Croatia,447.2949319999999
Bosnia and Herzegovina,410.2468140000001
Yemen,390.35030100000006
Myanmar,384.70285399999995
Estonia,363.882357
Bolivia,356.992443
Sri Lanka,343.00936800000005
Slovenia,340.842911
Sudan,325.50555899999995
Lithuania,300.24987200000004
Guatemala,298.238116
Kenya,280.194445
Ghana,263.607034
Zimbabwe,236.31703799999997
Luxembourg,224.132372
Ethiopia,206.349995
Panama,199.431271
Jamaica,198.32910900000002
North Macedonia,198.10802999999999
Honduras,186.89392699999996
Côte d'Ivoire,183.86433499999998
Tanzania,172.29063900000003
Latvia,167.84656
Senegal,167.25988200000003
Kyrgyzstan,167.13490199999998
Cyprus,166.643761
Brunei Darussalam,165.535396
Laos,160.495069
Georgia,160.41721299999998
Costa Rica,160.393643
Cambodia,159.254596
Cameroon,146.851085
Afghanistan,146.59072700000002
Equatorial Guinea,143.809845
Nepal,143.773616
Uruguay,141.607945
